slug	icons8Id	icons8Name	platform
aac	YoK1Mt7D3vXb	AAC	fluent
access	JdOSrU3pawBf	Microsoft Access 2019	fluent
adobe-after-effects	XJqAuI8VfoCe	Adobe After Effects	fluent
adobe-indesign	GRYhBqf5jdP9	Adobe Indesign	fluent
adobe-xd	TF2CQcYTNqU2	Adobe XD	fluent
ai-file	PuEMflqYza5C	AI File	fluent
apk	jchi72gDqcql	APK	fluent
archive	KFLuQn5NDwSw	Archive Folder	fluent
blender	KDGdN57NLSJa	Blender 3D	fluent
code-file	mXRsZ8Xy4xvM	Code File	fluent
css	8Bl4Njo6LTZo	CSS Filetype	fluent
csv	lb1nfipAhUam	CSV	fluent
database	KZHjwwenS7oK	Database	fluent
dll	uZSuedPPcCte	DLL	fluent
doc	cE1xkl9Bih8Y	DOC	fluent
docker	cdYUlRaag9G9	Docker	fluent
dwg	Wy0L1ZCGOkYf	DWG	fluent
email-document	8exBzeNPCaBC	Email Document	fluent
eps	lJBekFYwqUUm	EPS	fluent
exe	iIDlCpjR0SeM	EXE	fluent
figma	W0YEwBDDfTeu	Figma	fluent
file	XWoSyGbnshH2	File	fluent
git	6Qr2kBSBemvq	Git	fluent
html	rBjXs3DHrM1d	HTML Filetype	fluent
image-file	U2IFMSCuhbpE	Image File	fluent
json	SrDTEN0d3OPH	JSON	fluent
mp3	erOSlN6i8sJp	MP3	fluent
ogg	9qYtXVQHnhQQ	OGG	fluent
onenote	yTtdbCPCXVuI	Microsoft Onenote 2019	fluent
otf	R2oaiN16Z0df	OTF	fluent
pdf	LmcGmjPSQXSa	PDF	fluent
ppt	Qu7I8nRyinYR	PPT	fluent
ps	jNbgYGzrvzu5	PS	fluent
rtf	ZCqUqBtn2uxM	RTF Document	fluent
sql	J6KcaRLsTgpZ	SQL	fluent
symlink-file	K5JvNkceMRZz	Symlink File	fluent
torrent	b5pV6ZNwoxCd	Torrent	fluent
ttf	zKZT6ZxSADn1	TTF	fluent
txt	50nDvbuc0xFF	TXT	fluent
vcf	nfMAtDZXqSPa	Vcf	fluent
video-file	LKoXsvJgltGD	Video File	fluent
visio	NAUAHKddarlE	Microsoft Visio 2019	fluent
visual-studio	ezj3zaVtImPg	Visual Studio	fluent
wav	hzrhjFl7EGX1	WAV	fluent
wma	gjoCO8IS919R	WMA	fluent
woff	QqJ49DgNuLcb	WOFF	fluent
xls	xdyzXTtWRBOu	XLS	fluent
xml	blGkYcWG4gBk	XML File	fluent
